,lat [deg],long [deg],RA [deg],dec [deg],vlos [km/s],dist [kpc],pmRA [mas/yr],pmdec [mas/yr]
21277,2.35013870917,332.824889864,241.031427837,-43.0122230989,-152.586869062,110.842602455,-0.172405070787,0.110366860496
21278,-4.70926580925,338.068377934,254.403646606,-43.6580506033,-33.746658618,101.010571463,-0.121674492975,-0.0372406854109
21279,-4.94538370558,337.912022003,254.543428277,-43.8311933049,8.93765100148,99.0623959098,-0.0973420508827,-0.076882766972
21280,-6.98628393653,349.407909102,266.188453088,-38.0212404524,50.3163249941,106.51482065,-0.0622224170792,-0.101255458813
21281,-0.232306513627,347.613903985,257.485234089,-36.3173349077,99.6275427676,138.722301142,-0.193351733093,-0.034748068871
21282,3.80333601868,339.952321219,246.877394934,-38.8119737504,-151.092478607,146.670015163,-0.106456668436,0.0449524665653
21283,13.8755060024,348.716756181,245.19100857,-28.1567201498,-54.0218846313,174.705590772,-0.0913227763677,0.0283538963247
21284,8.59764570647,342.990199722,245.105852189,-34.5930394987,-36.9353811302,173.642190213,-0.112352969459,0.00120363222733
21285,21.412385593,335.179492701,228.078478203,-30.4560050387,-121.019617233,137.542474391,-0.123552714411,0.0202011932424
21286,10.6334943668,337.309279236,238.119022167,-36.4303606978,-164.016433072,130.69747054,-0.140270967133,0.0517989717414
21287,16.024797422,337.43758667,233.95776615,-33.0440350098,-109.154455897,143.000919502,-0.104746879642,0.0431562415301
21288,20.2887587973,330.992035129,224.8260293,-32.987391448,-144.021912625,121.035167173,-0.141984703828,0.0774745070782
21289,21.9018458048,347.72730604,238.069365029,-23.6959707772,7.69745813343,99.0247106156,-0.141479615919,0.0195281353676
21290,26.6629529991,326.942953579,217.348537613,-29.7149283829,-128.488776787,121.491775723,-0.150511190996,0.0991963204568
21291,20.8561366323,323.832308112,217.086987173,-35.0400397305,-136.828855278,119.872977113,-0.117782527999,0.135886498242
21292,21.5338355854,322.303240177,215.095261156,-34.9792385325,-148.263889545,113.244115564,-0.154189398175,0.102751578546
21293,22.8129802923,323.889102717,216.182542939,-33.5837090773,139.212073323,120.187770588,-0.182598679184,0.0820133118797
21294,23.1162602989,323.030262804,215.13743359,-33.6021781429,-119.661529235,132.515562234,-0.106195289369,0.100492874151
21295,20.3279982837,324.119475122,217.668281878,-35.3361095244,-121.603743634,128.97473388,-0.123545865388,0.110968714703
21296,19.5689884543,327.429230634,221.629041646,-34.8072740648,-117.802011134,133.173904872,-0.132242091827,0.0736341727916
21297,18.1415644291,326.221936693,221.165269793,-36.2132406384,-120.184356582,131.393374796,-0.118935261883,0.0895822127366
21298,18.5841541656,323.446185378,217.831198031,-36.7748385843,-135.265671449,127.283753193,-0.118238475367,0.0807424762614
21299,16.1352040848,332.571906752,229.158469604,-35.1714385061,-130.983568914,129.983727003,-0.113527848976,0.087635572529
21300,13.1330257808,326.551044622,224.675019806,-39.4203335915,-122.907524949,139.645279029,-0.109482757744,0.0486567672047
21301,12.7194899953,326.237683931,224.585231529,-39.7888603262,-79.9357454158,156.785638843,-0.0930164152613,0.0801392407189
21302,13.8522990501,322.759866545,219.65682231,-40.1676209951,-120.40916955,135.983061885,-0.0990872276158,0.0951740844307
21303,15.7586731285,322.307150695,218.020245121,-39.0417960366,-126.733054695,131.747457405,-0.116502276744,0.0868953463771
21304,20.411455706,317.49237799,210.125340233,-36.9613198339,-117.254971545,131.498569221,-0.0755689581546,0.107780903552
21305,19.010343251,315.676771625,208.460041788,-38.3324462743,-114.752448647,136.994231015,-0.103154643658,0.0882074320643
21306,21.4489036565,313.902807307,205.540950288,-36.848710193,-8.47080547572,172.273948403,-0.0807887439619,0.0626992655534
21307,9.07017168879,327.19786494,228.379267435,-41.6617248985,-73.4819554635,180.473197915,-0.0607031904107,0.0414407100194
21308,5.09102758809,314.917830468,213.560696924,-47.2354430145,50.5327844239,195.585522023,-0.0581162764974,0.0154373106341
21309,3.1898324451,328.472649415,235.019374059,-44.3848711461,-46.5308127595,184.384154081,-0.0849029766864,0.0383413015701
21310,9.0848952472,328.988596305,230.510742786,-40.987399324,-60.1408935804,188.504984611,-0.071523958173,0.025970535176
21311,5.6664657117,331.657296487,236.52176013,-41.8153562351,-50.8212035787,192.668139916,-0.0645954414909,0.0354076090892
21312,5.51914561745,330.822136365,235.694316559,-42.2432201729,-41.2551942328,190.514482667,-0.0775804207699,0.0314681514574
21313,8.99871992623,342.538333536,244.354136766,-34.6223536545,-125.59484756,179.275444194,-0.0717866870188,0.0276792595685
